CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 5, adversary: B_lineAgent, mean: -1.1239999999999999, standard deviation 0.21747866492364185
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.211.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.211.9'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.211.9'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.224.88')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.87.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.87.185'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.87.185'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.245.237')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.180.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.180.246'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.180.246'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.29.203')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.182.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.182.40'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.182.40'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.234.140')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.89.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.89.7'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.89.7'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.217.11')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.199.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.199.67'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.199.67'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.197.250')], total reward: -0.30000000000000004
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.234.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.234.209'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.234.209'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.233.204')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.233.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.233.189'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.233.189'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.6.248')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.194.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.194.125'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.194.125'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.75.151')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.131.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.131.231'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.131.231'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.27.154')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.54.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.54.177'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.54.177'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.75.155')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.244.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.244.194'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.244.194'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.35.55')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.53.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.53.226'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.53.226'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.205.50')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.137.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.137.226'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.137.226'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.195.54')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.82.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.82.22'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.82.22'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.18.199')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.250.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.250.182'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.250.182'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.2.25')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.70.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.70.115'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.70.115'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.132.10')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.137.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.137.231'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.137.231'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.11.190')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.86.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.86.4'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.86.4'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.124.153')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.202.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.202.174'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.202.174'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.178.188')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.1.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.1.100'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.1.100'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.208.183')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.24.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.24.42'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.24.42'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.211.35')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.196.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.196.174'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.196.174'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.79.219')], total reward: -0.30000000000000004
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.151.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.151.37'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.151.37'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.188.180')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.169.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.169.106'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.169.106'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.46.180')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.139.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.139.90'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.139.90'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.179.26')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.134.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.134.56'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.134.56'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.220.254')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.71.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.71.86'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.71.86'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.59.201')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.198.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.198.200'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.198.200'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.198.200'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3')], total reward: -0.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.197.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.197.201'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.197.201'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.49.39')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.188.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.188.107'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.188.107'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.117.139')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.118.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.118.234'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.118.234'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.211.56')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.34.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.34.178'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.34.178'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.169.235')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.70.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.70.29'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.70.29'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.131.242')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.101.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.101.86'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.101.86'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.207.27')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.142.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.142.113'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.142.113'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.212.49')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.56.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.56.82'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.56.82'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.52.219')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.243.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.243.92'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.243.92'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.86.226')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.175.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.175.210'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.175.210'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.161.9')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.143.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.143.173'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.143.173'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.66.56')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.86.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.86.148'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.86.148'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.141.22')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.184.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.184.23'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.184.23'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.173.210')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.96.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.96.73'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.96.73'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.8.157')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.252.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.252.37'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.252.37'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.16.132')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.102.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.102.1'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.102.1'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.119.23')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.151.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.151.57'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.151.57'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.54.225')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.11.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.11.77'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.11.77'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.157.193')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.126.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.126.174'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.126.174'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.25.185')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.196.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.196.134'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.196.134'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.184.69')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.123.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.123.107'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.123.107'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.160.57')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.202.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.202.50'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.202.50'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.228.162')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.105.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.105.251'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.105.251'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.70.81')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.211.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.211.199'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.211.199'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.190.6')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.94'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.214.94'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.5.210')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.85.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.85.152'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.85.152'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.134.58')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.234.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.234.157'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.234.157'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.66.158')], total reward: -1.2
