CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 11, adversary: B_lineAgent, mean: -3.132, standard deviation 0.7400354891844886
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Remove User2', 'ExploitRemoteService 10.0.214.187')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.212.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.212.149'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.212.149'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.101.57'), ('Analyse User2', 'ExploitRemoteService 10.0.101.57'), ('Analyse User2', 'ExploitRemoteService 10.0.212.149'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.101.57'), ('Analyse User2', 'ExploitRemoteService 10.0.101.57'), ('Analyse User2', 'ExploitRemoteService 10.0.212.149')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.77.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.77.236'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.77.236'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.93.202'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.93.202'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.93.202'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.93.202'), ('Remove User2', 'ExploitRemoteService 10.0.77.236')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.15.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.15.235'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.15.235'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.68.103'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.68.103'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.68.103'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.68.96/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.68.100')], total reward: -4.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.147.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.147.42'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.147.42'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.160.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.160.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.147.42'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.160.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.160.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.147.42')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.183.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.183.77'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.183.77'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.183.77'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.75.174'), ('Analyse User2', 'ExploitRemoteService 10.0.75.174'), ('Analyse User2', 'ExploitRemoteService 10.0.183.77'), ('Remove User2', 'ExploitRemoteService 10.0.183.77'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.183.77')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.169.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.169.210'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.169.210'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.214.188'), ('Analyse User2', 'ExploitRemoteService 10.0.214.188'), ('Analyse User2', 'ExploitRemoteService 10.0.169.210'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.214.188'), ('Analyse User2', 'ExploitRemoteService 10.0.214.188'), ('Analyse User2', 'ExploitRemoteService 10.0.169.210')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.230.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.230.252'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.230.252'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.106.11'), ('Analyse User2', 'ExploitRemoteService 10.0.106.11'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.106.11'), ('Remove User2', 'ExploitRemoteService 10.0.230.252'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.106.11')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.190.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.190.124'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.190.124'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.130.138'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.130.138'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.130.138'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.130.138'), ('Remove User2', 'ExploitRemoteService 10.0.190.124')], total reward: -4.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.245.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.245.161'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.245.161'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.8.205'), ('Analyse User2', 'ExploitRemoteService 10.0.8.205'), ('Analyse User2', 'ExploitRemoteService 10.0.245.161'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.8.205'), ('Analyse User2', 'ExploitRemoteService 10.0.8.205'), ('Analyse User2', 'ExploitRemoteService 10.0.245.161')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.202.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.202.56'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.202.56'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.99.253'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.99.253'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.202.56'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.99.253'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.99.253'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.202.56')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.38.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.38.66'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.38.66'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.214.254'), ('Analyse User2', 'ExploitRemoteService 10.0.214.254'), ('Analyse User2', 'ExploitRemoteService 10.0.38.66'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.214.254'), ('Analyse User2', 'ExploitRemoteService 10.0.214.254'), ('Analyse User2', 'ExploitRemoteService 10.0.38.66')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.245.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.245.201'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.245.201'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.7.251'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.7.251'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.7.251'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.7.251'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.146.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.146.151'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.146.151'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.190.145'), ('Analyse User2', 'ExploitRemoteService 10.0.190.145'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.190.145'), ('Remove User2', 'ExploitRemoteService 10.0.146.151'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.190.145')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.225.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.225.117'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.225.117'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.148.49'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.148.49'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.148.49'), ('Analyse User2', 'ExploitRemoteService 10.0.225.117'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.148.49')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.4.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.4.19'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.4.19'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.4.19'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.191.67'), ('Analyse User2', 'ExploitRemoteService 10.0.191.67'), ('Analyse User2', 'ExploitRemoteService 10.0.4.19'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.4.19'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.7.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.7.148'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.7.148'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.116.202'), ('Analyse User2', 'ExploitRemoteService 10.0.116.202'), ('Analyse User2', 'ExploitRemoteService 10.0.7.148'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.116.202'), ('Analyse User2', 'ExploitRemoteService 10.0.116.202'), ('Analyse User2', 'ExploitRemoteService 10.0.7.148')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.41.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.41.118'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.41.118'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.69.86'), ('Analyse User2', 'ExploitRemoteService 10.0.69.86'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.69.86'), ('Remove User2', 'ExploitRemoteService 10.0.41.118'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.69.86')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.154.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.154.180'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.154.180'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.51.3'), ('Analyse User2', 'ExploitRemoteService 10.0.51.3'), ('Analyse User2', 'ExploitRemoteService 10.0.154.180'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.51.3'), ('Analyse User2', 'ExploitRemoteService 10.0.51.3'), ('Analyse User2', 'ExploitRemoteService 10.0.154.180')], total reward: -2.5
