CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 13, adversary: B_lineAgent, mean: -4.247, standard deviation 0.8068463361142629
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Remove User2', 'ExploitRemoteService 10.0.214.187'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158')], total reward: -3.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.176.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.176.120'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.176.120'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.198.73'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.198.73'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.176.120'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.198.73'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.198.73'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.176.120'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.198.73')], total reward: -2.7
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.115.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.115.234'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.115.234'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.203.213'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.203.213'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.115.234'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.203.213'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.203.213'), ('Remove User2', 'ExploitRemoteService 10.0.115.234'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.203.213')], total reward: -3.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.220.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.220.126'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.220.126'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.84.210'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.84.210'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.220.126'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.84.210'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.84.210'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.220.126'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.84.210')], total reward: -3.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.117.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.117.153'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.117.153'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.135.245'), ('Analyse User2', 'ExploitRemoteService 10.0.135.245'), ('Analyse User2', 'ExploitRemoteService 10.0.117.153'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User3'), ('Analyse User1', 'DiscoverNetworkServices 10.0.135.245'), ('Analyse User2', 'ExploitRemoteService 10.0.135.245'), ('Analyse User2', 'ExploitRemoteService 10.0.117.153'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.117.153')], total reward: -2.8
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.119.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.119.164'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.119.164'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.186.119'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.186.119'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.186.119'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.186.119'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.186.119'), ('Analyse User2', 'ExploitRemoteService 10.0.119.164')], total reward: -5.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.96.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.96.25'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.96.25'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.239.232'), ('Analyse User2', 'ExploitRemoteService 10.0.239.232'), ('Analyse User2', 'ExploitRemoteService 10.0.96.25'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.96.25'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.96.25'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.96.25')], total reward: -4.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.161.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.161.129'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.161.129'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.22.130'), ('Analyse User2', 'ExploitRemoteService 10.0.22.130'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.22.130'), ('Remove User2', 'ExploitRemoteService 10.0.161.129'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.22.130'), ('Analyse User2', 'ExploitRemoteService 10.0.22.130'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -4.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.28.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.28.183'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.28.183'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.71.181'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.71.181'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.71.181'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.71.181'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.71.181'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.173.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.173.202'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.173.202'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.102.56'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.102.56'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.173.202'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.102.56'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.102.56'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.173.202'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.102.56')], total reward: -3.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.182.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.182.19'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.182.19'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.141.110'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.141.110'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.141.110'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.141.110'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.141.110'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -7.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.175.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.175.58'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.175.58'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.196.132'), ('Analyse User2', 'ExploitRemoteService 10.0.196.132'), ('Analyse User2', 'ExploitRemoteService 10.0.175.58'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.196.132'), ('Analyse User2', 'ExploitRemoteService 10.0.196.132'), ('Analyse User2', 'ExploitRemoteService 10.0.175.58'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.196.132')], total reward: -3.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.171.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.171.82'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.171.82'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.58.229'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.58.229'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.58.229'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.58.229'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.58.229'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.26.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.26.56'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.26.56'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.167.126'), ('Analyse User2', 'ExploitRemoteService 10.0.167.126'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.167.126'), ('Remove User2', 'ExploitRemoteService 10.0.26.56'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.167.126'), ('Analyse User2', 'ExploitRemoteService 10.0.167.126'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -4.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.179.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.179.35'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.179.35'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.96.74'), ('Analyse User2', 'ExploitRemoteService 10.0.96.74'), ('Analyse User2', 'ExploitRemoteService 10.0.179.35'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.179.35'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.179.35'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.179.35')], total reward: -4.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.3.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.3.218'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.3.218'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.99.167'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.99.167'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.3.218'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.99.167'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.99.167'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.3.218'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.99.167')], total reward: -3.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.215.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.215.140'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.215.140'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.217.213'), ('Analyse User2', 'ExploitRemoteService 10.0.217.213'), ('Analyse User2', 'ExploitRemoteService 10.0.215.140'), ('Remove User2', 'ExploitRemoteService 10.0.215.140'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.215.140'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.215.140'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -4.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.33.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.33.177'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.33.177'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.225.180'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.225.180'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.225.180'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.225.180'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.225.180'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.207.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.207.110'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.207.110'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.46.213'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.46.213'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.46.213'), ('Analyse User2', 'ExploitRemoteService 10.0.207.110'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.46.213'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.46.213'), ('Analyse User2', 'ExploitRemoteService 10.0.207.110')], total reward: -3.4
