CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 10, adversary: B_lineAgent, mean: -2.809, standard deviation 0.6375608507302173
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.159.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.159.97'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.159.97'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.222.129'), ('Analyse User2', 'ExploitRemoteService 10.0.222.129'), ('Analyse User2', 'ExploitRemoteService 10.0.159.97'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.222.129'), ('Analyse User2', 'ExploitRemoteService 10.0.222.129')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.23.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.23.228'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.23.228'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.68.158'), ('Analyse User2', 'ExploitRemoteService 10.0.68.158'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.68.158'), ('Remove User2', 'ExploitRemoteService 10.0.23.228'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.6.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.6.249'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.6.249'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.90.173'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.90.173'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.90.173'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.90.173')], total reward: -3.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.246.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.246.90'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.246.90'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.202.42'), ('Analyse User2', 'ExploitRemoteService 10.0.202.42'), ('Analyse User2', 'ExploitRemoteService 10.0.246.90'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.246.90'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.175.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.175.82'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.175.82'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.134.9'), ('Analyse User2', 'ExploitRemoteService 10.0.134.9'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.134.9'), ('Remove User2', 'ExploitRemoteService 10.0.175.82'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.49.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.49.229'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.49.229'), ('Analyse Enterprise2', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.177.206'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.177.206'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.177.206'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore User2', 'ExploitRemoteService 10.0.177.206')], total reward: -3.7
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.238.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.238.168'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.238.168'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.102.17'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.102.17'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.102.17'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.102.17')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.254.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.254.12'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.254.12'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.96.23'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.96.23'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.96.23'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.96.23')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.112.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.112.102'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.112.102'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.228.252'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.228.252'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.112.102'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.228.252'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.228.252')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.229.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.229.228'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.229.228'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.103.25'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.103.25'), ('Remove User2', 'ExploitRemoteService 10.0.229.228'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.103.25'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.103.25')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.5.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.5.243'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.5.243'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.64.225'), ('Analyse User2', 'ExploitRemoteService 10.0.64.225'), ('Analyse User2', 'ExploitRemoteService 10.0.5.243'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.5.243'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.10.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.10.147'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.10.147'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.4.158'), ('Analyse User2', 'ExploitRemoteService 10.0.4.158'), ('Analyse User2', 'ExploitRemoteService 10.0.10.147'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.4.158'), ('Analyse User2', 'ExploitRemoteService 10.0.4.158')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.107.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.107.40'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.107.40'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.115.65'), ('Analyse User2', 'ExploitRemoteService 10.0.115.65'), ('Analyse User2', 'ExploitRemoteService 10.0.107.40'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.107.40'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.127.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.127.238'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.127.238'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.175.56'), ('Analyse User2', 'ExploitRemoteService 10.0.175.56'), ('Analyse User2', 'ExploitRemoteService 10.0.127.238'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.127.238'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User3')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.249.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.249.8'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.249.8'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.128.110'), ('Analyse User2', 'ExploitRemoteService 10.0.128.110'), ('Analyse User2', 'ExploitRemoteService 10.0.249.8'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.128.110'), ('Analyse User2', 'ExploitRemoteService 10.0.128.110')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.180.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.180.131'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.180.131'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.250.245'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.250.245'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.180.131'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.250.245'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.250.245')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.144.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.144.221'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.144.221'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.9.43'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.9.43'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.144.221'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.9.43'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.9.43')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.231.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.231.226'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.231.226'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.126.225'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.126.225'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.126.225'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.126.225')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.173.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.173.190'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.173.190'), ('Analyse Enterprise2', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.0.196'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.0.196'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.0.196'), ('Restore User2', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'DiscoverRemoteSystems 10.0.0.192/28')], total reward: -4.6000000000000005
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.68.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.68.11'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.68.11'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.199.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.199.7'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.199.7'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.199.7')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.242.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.242.113'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.242.113'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.54.157'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.54.157'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.242.113'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.54.157'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.54.157')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.133.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.133.131'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.133.131'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.64.110'), ('Analyse User2', 'ExploitRemoteService 10.0.64.110'), ('Analyse User2', 'ExploitRemoteService 10.0.133.131'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User3'), ('Analyse User1', 'DiscoverNetworkServices 10.0.64.110'), ('Analyse User2', 'ExploitRemoteService 10.0.64.110')], total reward: -1.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.227.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.227.185'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.227.185'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.219.149'), ('Analyse User2', 'ExploitRemoteService 10.0.219.149'), ('Analyse User2', 'ExploitRemoteService 10.0.227.185'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.219.149'), ('Analyse User2', 'ExploitRemoteService 10.0.219.149')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.238.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.238.219'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.238.219'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.25.234'), ('Analyse User2', 'ExploitRemoteService 10.0.25.234'), ('Analyse User2', 'ExploitRemoteService 10.0.238.219'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.238.219'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.248.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.248.42'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.248.42'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.200.51'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.200.51'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.200.51'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.200.51')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.0.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.0.182'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.0.182'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.246.185'), ('Analyse User2', 'ExploitRemoteService 10.0.246.185'), ('Analyse User2', 'ExploitRemoteService 10.0.0.182'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.246.185'), ('Analyse User2', 'ExploitRemoteService 10.0.246.185')], total reward: -2.3
