CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 8, adversary: B_lineAgent, mean: -1.798, standard deviation 0.5316222551983901
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.201.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.201.2'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.201.2'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.138.37'), ('Analyse User2', 'ExploitRemoteService 10.0.138.37'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.138.37')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.185.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.185.119'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.185.119'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.116.228'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.116.228'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.116.228')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.176.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.176.120'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.176.120'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.198.73'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.198.73'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.176.120'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.253.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.253.242'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.253.242'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.165.65'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.165.65'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.165.65')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.125.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.125.202'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.125.202'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.220.247'), ('Analyse User2', 'ExploitRemoteService 10.0.220.247'), ('Analyse User2', 'ExploitRemoteService 10.0.125.202'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.252.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.252.125'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.252.125'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.15.58'), ('Analyse User2', 'ExploitRemoteService 10.0.15.58'), ('Analyse User2', 'ExploitRemoteService 10.0.252.125'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.52.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.52.26'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.52.26'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.20.9'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.20.9'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.20.9')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.53.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.53.226'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.53.226'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.205.50'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.205.50'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.53.226'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.12.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.12.92'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.12.92'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.52.250'), ('Analyse User2', 'ExploitRemoteService 10.0.52.250'), ('Analyse User2', 'ExploitRemoteService 10.0.12.92'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.225.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.225.250'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.225.250'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.252.168'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.252.168'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.252.168')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.245.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.245.119'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.245.119'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.248.86'), ('Analyse User2', 'ExploitRemoteService 10.0.248.86'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.248.86')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.45.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.45.139'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.45.139'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.177.94'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.177.94'), ('Remove User2', 'ExploitRemoteService 10.0.45.139'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.102.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.102.78'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.102.78'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.10.195'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.10.195'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.10.195')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.154.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.154.117'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.154.117'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.132.153'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.132.153'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.132.153')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.215.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.215.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.215.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.207.39'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.207.39'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.215.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.245.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.245.193'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.245.193'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.196.114'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.196.114'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.196.114')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.151.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.151.37'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.151.37'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.188.180'), ('Analyse User2', 'ExploitRemoteService 10.0.188.180'), ('Analyse User2', 'ExploitRemoteService 10.0.151.37'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.200.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.200.104'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.200.104'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.159.205'), ('Analyse User2', 'ExploitRemoteService 10.0.159.205'), ('Analyse User2', 'ExploitRemoteService 10.0.200.104'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.199.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.199.180'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.199.180'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.26.57'), ('Analyse User2', 'ExploitRemoteService 10.0.26.57'), ('Analyse User2', 'ExploitRemoteService 10.0.199.180'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.38.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.38.178'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.38.178'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.164.157'), ('Analyse User2', 'ExploitRemoteService 10.0.164.157'), ('Analyse User2', 'ExploitRemoteService 10.0.38.178'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.11.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.11.85'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.11.85'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.208.196'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.208.196'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.208.196')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.49.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.49.43'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.49.43'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.231.217'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.231.217'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.49.43'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.160.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.160.166'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.160.166'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.145.13'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.145.13'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.145.13')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.158.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.158.226'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.158.226'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.224.212'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.224.212'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.224.212')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.228.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.228.50'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.228.50'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.58.249'), ('Analyse User2', 'ExploitRemoteService 10.0.58.249'), ('Analyse User2', 'ExploitRemoteService 10.0.228.50'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.136.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.136.138'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.136.138'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.213.77'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.213.77'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.213.77')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.139.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.139.105'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.139.105'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.103.236'), ('Analyse User2', 'ExploitRemoteService 10.0.103.236'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.103.236')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.136.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.136.147'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.136.147'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.46.203'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.46.203'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.46.203')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.172.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.172.236'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.172.236'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.231.189'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.231.189'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.172.236'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.3.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.3.198'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.3.198'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.20.76'), ('Analyse User2', 'ExploitRemoteService 10.0.20.76'), ('Analyse User2', 'ExploitRemoteService 10.0.3.198'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.141.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.141.29'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.141.29'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.91.19'), ('Analyse User2', 'ExploitRemoteService 10.0.91.19'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.91.19')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.129.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.129.92'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.129.92'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.135.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.135.92'), ('Analyse User2', 'ExploitRemoteService 10.0.129.92'), ('Analyse User2', 'PrivilegeEscalate User2')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.36.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.36.71'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.36.71'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.211.69'), ('Analyse User2', 'ExploitRemoteService 10.0.211.69'), ('Analyse User2', 'ExploitRemoteService 10.0.36.71'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.65.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.65.233'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.65.233'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.209.234'), ('Analyse User2', 'ExploitRemoteService 10.0.209.234'), ('Analyse User2', 'ExploitRemoteService 10.0.65.233'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.2
