CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 7, adversary: B_lineAgent, mean: -1.597, standard deviation 0.5248289764727693
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.123.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.123.174'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.123.174'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.31.97'), ('Analyse User2', 'ExploitRemoteService 10.0.31.97'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.148.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.148.90'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.148.90'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.17.137'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.17.137'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.237.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.237.161'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.237.161'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.196.169'), ('Analyse User2', 'ExploitRemoteService 10.0.196.169'), ('Analyse User2', 'ExploitRemoteService 10.0.237.161')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.72.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.72.201'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.72.201'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.140.213'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.140.213'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.225.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.225.168'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.225.168'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.209.14'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.209.14'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.225.168')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.78.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.78.109'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.78.109'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.57.77'), ('Analyse User2', 'ExploitRemoteService 10.0.57.77'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.177.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.177.158'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.177.158'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.192.19'), ('Analyse User2', 'ExploitRemoteService 10.0.192.19'), ('Analyse User2', 'ExploitRemoteService 10.0.177.158')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.106.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.106.130'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.106.130'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.106.130'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.85.108'), ('Analyse User2', 'ExploitRemoteService 10.0.85.108')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.195.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.195.40'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.195.40'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.115.212'), ('Analyse User2', 'ExploitRemoteService 10.0.115.212'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.90.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.90.188'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.90.188'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.212.148'), ('Analyse User2', 'ExploitRemoteService 10.0.212.148'), ('Analyse User2', 'ExploitRemoteService 10.0.90.188')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.79.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.79.102'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.79.102'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.62.209'), ('Analyse User2', 'ExploitRemoteService 10.0.62.209'), ('Analyse User2', 'ExploitRemoteService 10.0.79.102')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.184.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.184.82'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.184.82'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.104.108'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.104.108'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.184.82')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.102.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.102.206'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.102.206'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.137.216'), ('Analyse User2', 'ExploitRemoteService 10.0.137.216'), ('Analyse User2', 'ExploitRemoteService 10.0.102.206')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.144.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.144.59'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.144.59'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.126.55'), ('Analyse User2', 'ExploitRemoteService 10.0.126.55'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.203.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.203.55'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.203.55'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.245.120'), ('Analyse User2', 'ExploitRemoteService 10.0.245.120'), ('Analyse User2', 'ExploitRemoteService 10.0.203.55')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.208.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.208.187'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.208.187'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.254.17'), ('Analyse User2', 'ExploitRemoteService 10.0.254.17'), ('Analyse User2', 'ExploitRemoteService 10.0.208.187')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.74.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.74.119'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.74.119'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.28.4'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.28.4'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.188.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.188.99'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.188.99'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.243.90'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.243.90'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.139.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.139.249'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.139.249'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.150.103'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.150.103'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.106.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.106.14'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.106.14'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.2.23'), ('Analyse User2', 'ExploitRemoteService 10.0.2.23'), ('Analyse User2', 'ExploitRemoteService 10.0.106.14')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.46.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.46.135'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.46.135'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.111.210'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.111.210'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.46.135')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.19.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.19.145'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.19.145'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.216.248'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.216.248'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.19.145')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.239.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.239.186'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.239.186'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.146.19'), ('Analyse User2', 'ExploitRemoteService 10.0.146.19'), ('Analyse User2', 'ExploitRemoteService 10.0.239.186')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.52.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.52.213'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.52.213'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.204.242'), ('Analyse User2', 'ExploitRemoteService 10.0.204.242'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.104.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.104.120'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.104.120'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.6.19'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.6.19'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.225.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.225.117'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.225.117'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.148.49'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.148.49'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.193.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.193.149'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.193.149'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.127.9'), ('Analyse User2', 'ExploitRemoteService 10.0.127.9'), ('Analyse User2', 'ExploitRemoteService 10.0.193.149')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.254.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.254.163'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.254.163'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.58.30'), ('Analyse User2', 'ExploitRemoteService 10.0.58.30'), ('Analyse User2', 'ExploitRemoteService 10.0.254.163')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.11.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.11.14'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.11.14'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.208.50'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.208.50'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.3.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.3.172'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.3.172'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.187.7'), ('Analyse User2', 'ExploitRemoteService 10.0.187.7'), ('Analyse User2', 'ExploitRemoteService 10.0.3.172')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.154.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.154.180'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.154.180'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.51.3'), ('Analyse User2', 'ExploitRemoteService 10.0.51.3'), ('Analyse User2', 'ExploitRemoteService 10.0.154.180')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.56.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.56.11'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.56.11'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.9.149'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.9.149'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.56.11')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.48.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.48.214'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.48.214'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.227.87'), ('Analyse User2', 'ExploitRemoteService 10.0.227.87'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.86.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.86.77'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.86.77'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.67.178'), ('Analyse User2', 'ExploitRemoteService 10.0.67.178'), ('Analyse User2', 'ExploitRemoteService 10.0.86.77')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.211.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.211.75'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.211.75'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.155.134'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.155.134'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.194.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.194.136'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.194.136'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.194.136'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.194.136'), ('DecoyVsftpd Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.254.215')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.75.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.75.120'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.75.120'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.180.188'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.180.188'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.75.120')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.21.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.21.43'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.21.43'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.46.101'), ('Analyse User2', 'ExploitRemoteService 10.0.46.101'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.109.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.109.8'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.109.8'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.124.211'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.124.211'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.109.8')], total reward: -1.2
