CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 6, adversary: B_lineAgent, mean: -1.164, standard deviation 0.141078100012122
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.253.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.253.101'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.253.101'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.102.123'), ('Analyse User2', 'ExploitRemoteService 10.0.102.123')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.96.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.96.90'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.96.90'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.197.39'), ('Analyse User2', 'ExploitRemoteService 10.0.197.39')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.184.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.184.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.184.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.114.183'), ('Analyse User2', 'ExploitRemoteService 10.0.114.183')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.139.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.139.101'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.139.101'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.161.219'), ('Analyse User2', 'ExploitRemoteService 10.0.161.219')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.64.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.64.88'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.64.88'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.118.82'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.118.82')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.171.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.171.189'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.171.189'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.170.5'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.170.5')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.169.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.169.107'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.169.107'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.222.218'), ('Analyse User2', 'ExploitRemoteService 10.0.222.218')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.192.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.192.148'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.192.148'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.98.6'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.98.6')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.36.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.36.71'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.36.71'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.211.69'), ('Analyse User2', 'ExploitRemoteService 10.0.211.69')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.254.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.254.219'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.254.219'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.195.231'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.195.231')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.43.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.43.249'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.43.249'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.102.233'), ('Analyse User2', 'ExploitRemoteService 10.0.102.233')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.95.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.95.185'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.95.185'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.221.51'), ('Analyse User2', 'ExploitRemoteService 10.0.221.51')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.33.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.33.65'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.33.65'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.146.197'), ('Analyse User2', 'ExploitRemoteService 10.0.146.197')], total reward: -0.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.121.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.121.27'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.121.27'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.10.62'), ('Analyse User2', 'ExploitRemoteService 10.0.10.62')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.227.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.227.232'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.227.232'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.24.106'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.24.106')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.71.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.71.118'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.71.118'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.79.89'), ('Analyse User2', 'ExploitRemoteService 10.0.79.89')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.217.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.217.183'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.217.183'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.248.81'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.248.81')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.66.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.66.202'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.66.202'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.107.38'), ('Analyse User2', 'ExploitRemoteService 10.0.107.38')], total reward: -1.2
