CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 20, adversary: B_lineAgent, mean: -6.946, standard deviation 1.568530161867112
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Remove User2', 'ExploitRemoteService 10.0.214.187'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.120.158')], total reward: -5.8
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.204.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.204.108'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.204.108'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.236.104'), ('Analyse User2', 'ExploitRemoteService 10.0.236.104'), ('Analyse User2', 'ExploitRemoteService 10.0.204.108'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.236.104'), ('Analyse User2', 'ExploitRemoteService 10.0.236.104'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.236.104'), ('Remove User2', 'ExploitRemoteService 10.0.204.108'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.236.104'), ('Analyse User2', 'ExploitRemoteService 10.0.236.104'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.236.104'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.236.104')], total reward: -6.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.182.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.182.137'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.182.137'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.83.151'), ('Analyse User2', 'ExploitRemoteService 10.0.83.151'), ('Analyse User2', 'ExploitRemoteService 10.0.182.137'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.182.137'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.182.137'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.182.137'), ('Remove User2', 'ExploitRemoteService 10.0.182.137'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.182.137'), ('Remove User2', 'ExploitRemoteService 10.0.182.137'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.182.137'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -7.7
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.0.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.0.52'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.0.52'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.65.203'), ('Analyse User2', 'ExploitRemoteService 10.0.65.203'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.65.203'), ('Remove User2', 'ExploitRemoteService 10.0.0.52'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.0.52'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.0.52'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.0.52'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.0.52'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User3'), ('Analyse User1', 'DiscoverNetworkServices 10.0.65.203'), ('Analyse User2', 'ExploitRemoteService 10.0.65.203')], total reward: -6.8
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.183.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.183.77'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.183.77'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.183.77'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.75.174'), ('Analyse User2', 'ExploitRemoteService 10.0.75.174'), ('Analyse User2', 'ExploitRemoteService 10.0.183.77'), ('Remove User2', 'ExploitRemoteService 10.0.183.77'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.183.77'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.183.77'), ('Remove User2', 'ExploitRemoteService 10.0.183.77'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.183.77'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.183.77'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.183.77')], total reward: -6.8
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.38.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.38.66'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.38.66'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.56.170'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.56.170'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.56.170'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.56.170'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.56.170'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.56.170'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.56.170'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.56.170'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.56.170')], total reward: -11.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.22.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.22.90'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.22.90'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.176.75'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.176.75'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.176.75'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.176.75'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.176.75'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.176.75'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.176.75'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.176.75'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.176.75')], total reward: -9.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.142.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.142.243'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.142.243'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.138.161'), ('Analyse User2', 'ExploitRemoteService 10.0.138.161'), ('Analyse User2', 'ExploitRemoteService 10.0.142.243'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.138.161'), ('Analyse User2', 'ExploitRemoteService 10.0.138.161'), ('Analyse User2', 'ExploitRemoteService 10.0.142.243'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.138.161'), ('Analyse User2', 'ExploitRemoteService 10.0.138.161'), ('Analyse User2', 'ExploitRemoteService 10.0.142.243'), ('DecoyVsftpd User3', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.138.161'), ('Analyse User2', 'ExploitRemoteService 10.0.138.161'), ('Analyse User2', 'ExploitRemoteService 10.0.142.243'), ('DecoySSHD User3', 'PrivilegeEscalate User4')], total reward: -5.0
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.38.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.38.178'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.38.178'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.164.157'), ('Analyse User2', 'ExploitRemoteService 10.0.164.157'), ('Analyse User2', 'ExploitRemoteService 10.0.38.178'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.38.178'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.38.178'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.38.178'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.38.178'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.38.178'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.38.178'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -8.8
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.131.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.131.165'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.131.165'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.54.200'), ('Analyse User2', 'ExploitRemoteService 10.0.54.200'), ('Analyse User2', 'ExploitRemoteService 10.0.131.165'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.54.200'), ('Analyse User2', 'ExploitRemoteService 10.0.54.200'), ('Analyse User2', 'ExploitRemoteService 10.0.131.165'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.54.200'), ('Analyse User2', 'ExploitRemoteService 10.0.54.200'), ('Analyse User2', 'ExploitRemoteService 10.0.131.165'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('Analyse User1', 'DiscoverNetworkServices 10.0.54.200'), ('Analyse User2', 'ExploitRemoteService 10.0.54.200'), ('Analyse User2', 'ExploitRemoteService 10.0.131.165'), ('DecoyVsftpd User3', 'PrivilegeEscalate User4')], total reward: -4.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.93.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.93.65'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.93.65'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.52.46'), ('Analyse User2', 'ExploitRemoteService 10.0.52.46'), ('Analyse User2', 'ExploitRemoteService 10.0.93.65'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.52.46'), ('Analyse User2', 'ExploitRemoteService 10.0.52.46'), ('Analyse User2', 'ExploitRemoteService 10.0.93.65'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyVsftpd Op_Server0', 'DiscoverNetworkServices 10.0.52.46'), ('Analyse User2', 'ExploitRemoteService 10.0.52.46'), ('Analyse User2', 'ExploitRemoteService 10.0.93.65'), ('DecoyVsftpd User3', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.52.46'), ('Analyse User2', 'ExploitRemoteService 10.0.52.46'), ('Analyse User2', 'ExploitRemoteService 10.0.93.65'), ('DecoySSHD User3', 'PrivilegeEscalate User4')], total reward: -4.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.69.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.69.28'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.69.28'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.71.76'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.71.76'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.71.76'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.71.76'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.71.76'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.71.76'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.71.76'), ('Analyse User2', 'ExploitRemoteService 10.0.69.28'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.71.76'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.71.76')], total reward: -8.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.95.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.95.75'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.95.75'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.214.110'), ('Analyse User2', 'ExploitRemoteService 10.0.214.110'), ('Analyse User2', 'ExploitRemoteService 10.0.95.75'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.214.110'), ('Analyse User2', 'ExploitRemoteService 10.0.214.110'), ('Analyse User2', 'ExploitRemoteService 10.0.95.75'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.214.110'), ('Analyse User2', 'ExploitRemoteService 10.0.214.110'), ('Analyse User2', 'ExploitRemoteService 10.0.95.75'), ('DecoyVsftpd User3', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.214.110'), ('Analyse User2', 'ExploitRemoteService 10.0.214.110'), ('Analyse User2', 'ExploitRemoteService 10.0.95.75'), ('DecoySSHD User3', 'PrivilegeEscalate User4')], total reward: -4.8
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.105.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.105.68'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.105.68'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.74.123'), ('Analyse User2', 'ExploitRemoteService 10.0.74.123'), ('Analyse User2', 'ExploitRemoteService 10.0.105.68'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.74.123'), ('Analyse User2', 'ExploitRemoteService 10.0.74.123'), ('Analyse User2', 'ExploitRemoteService 10.0.105.68'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.74.123'), ('Analyse User2', 'ExploitRemoteService 10.0.74.123'), ('Analyse User2', 'ExploitRemoteService 10.0.105.68'), ('DecoyVsftpd User3', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.74.123'), ('Analyse User2', 'ExploitRemoteService 10.0.74.123'), ('Analyse User2', 'ExploitRemoteService 10.0.105.68'), ('DecoySSHD User3', 'PrivilegeEscalate User4')], total reward: -5.0
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.74.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.74.34'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.74.34'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.169.108'), ('Analyse User2', 'ExploitRemoteService 10.0.169.108'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.169.108'), ('Remove User2', 'ExploitRemoteService 10.0.74.34'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.169.108'), ('Analyse User2', 'ExploitRemoteService 10.0.169.108'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.169.108'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.169.108'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.169.108'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.169.108')], total reward: -7.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.67.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.67.126'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.67.126'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.233.70'), ('Analyse User2', 'ExploitRemoteService 10.0.233.70'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.233.70'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.233.70'), ('Remove User2', 'ExploitRemoteService 10.0.67.126'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.233.70'), ('Analyse User2', 'ExploitRemoteService 10.0.233.70'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.233.70'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.233.70'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.233.70')], total reward: -7.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.212.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.212.146'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.212.146'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.212.146'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.125.249'), ('Analyse User2', 'ExploitRemoteService 10.0.125.249'), ('Analyse User2', 'ExploitRemoteService 10.0.212.146'), ('Remove User2', 'ExploitRemoteService 10.0.212.146'), ('Remove User2', 'ExploitRemoteService 10.0.212.146'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.212.146'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.212.146'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.212.146'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.212.146'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.212.146')], total reward: -6.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.163.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.163.78'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.163.78'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.205.83'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.205.83'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.205.83'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.205.83'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.205.83'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.205.83'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.205.83'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.205.83'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.205.83')], total reward: -8.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.25.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.25.151'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.25.151'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.160.131'), ('Analyse User2', 'ExploitRemoteService 10.0.160.131'), ('Analyse User2', 'ExploitRemoteService 10.0.25.151'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.25.151'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.25.151'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.25.151'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.25.151'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.25.151'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.25.151'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -8.8
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.13.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.13.1'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.13.1'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.18.200'), ('Analyse User2', 'ExploitRemoteService 10.0.18.200'), ('Analyse User2', 'ExploitRemoteService 10.0.13.1'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.13.1'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.13.1'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.13.1'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.13.1'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.13.1'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.13.1'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -8.8
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.187.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.187.44'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.187.44'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.125.8'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.125.8'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.125.8'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.125.8'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.125.8'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.125.8'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.125.8'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.125.8'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.125.8')], total reward: -9.2
